species_code,common_name
ambduc,American Black Duck
amecro,American Crow
amegfi,American Goldfinch
amekes,American Kestrel
ameoys,American Oystercatcher
amered,American Redstart
amerob,American Robin
amgplo,American Golden-Plover
amhgul1,American Herring Gull
babwar,Bay-breasted Warbler
baisan,Baird's Sandpiper
baleag,Bald Eagle
balori,Baltimore Oriole
banswa,Bank Swallow
barswa,Barn Swallow
bawwar,Black-and-white Warbler
bcnher,Black-crowned Night Heron
belkin1,Belted Kingfisher
bkbcuc,Black-billed Cuckoo
bkbplo,Black-bellied Plover
bkbwar,Blackburnian Warbler
bkcchi,Black-capped Chickadee
bkpwar,Blackpoll Warbler
blkski,Black Skimmer
blkvul,Black Vulture
blujay,Blue Jay
bnhcow,Brown-headed Cowbird
boboli,Bobolink
bongul,Bonaparte's Gull
botgra,Boat-tailed Grackle
brant,Brant
brnthr,Brown Thrasher
brwhaw,Broad-winged Hawk
btbwar,Black-throated Blue Warbler
btnwar,Black-throated Green Warbler
bubsan,Buff-breasted Sandpiper
buggna,Blue-gray Gnatcatcher
buwtea,Blue-winged Teal
buwwar,Blue-winged Warbler
camwar,Cape May Warbler
cangoo,Canada Goose
canwar,Canada Warbler
carwre,Carolina Wren
caster1,Caspian Tern
cedwax,Cedar Waxwing
chispa,Chipping Sparrow
chiswi,Chimney Swift
chswar,Chestnut-sided Warbler
clarai11,Clapper Rail
cliswa,Cliff Swallow
comgra,Common Grackle
comloo,Common Loon
comnig,Common Nighthawk
comrav,Common Raven
comter,Common Tern
comyel,Common Yellowthroat
coohaw,Cooper's Hawk
dickci,Dickcissel
doccor,Double-crested Cormorant
dowwoo,Downy Woodpecker
eargre,Eared Grebe
easkin,Eastern Kingbird
easpho,Eastern Phoebe
eastow,Eastern Towhee
eawpew,Eastern Wood-Pewee
eawvir1,Eastern Warbling Vireo
eursta,European Starling
fiespa,Field Sparrow
fiscro,Fish Crow
forter,Forster's Tern
gadwal,Gadwall
gbbgul,Great Black-backed Gull
gloibi,Glossy Ibis
gnwtea,Green-winged Teal
grbher3,Great Blue Heron
grcfly,Great Crested Flycatcher
greegr,Great Egret
greyel,Greater Yellowlegs
grhowl,Great Horned Owl
grnher,Green Heron
grycat,Gray Catbird
gubter2,Gull-billed Tern
haiwoo,Hairy Woodpecker
herthr,Hermit Thrush
houfin,House Finch
houspa,House Sparrow
houwre,Northern House Wren
hudgod,Hudsonian Godwit
indbun,Indigo Bunting
killde,Killdeer
larspa,Lark Sparrow
laugul,Laughing Gull
lbbgul,Lesser Black-backed Gull
leafly,Least Flycatcher
leasan,Least Sandpiper
leater1,Least Tern
lesyel,Lesser Yellowlegs
libher,Little Blue Heron
lobdow,Long-billed Dowitcher
louwat,Louisiana Waterthrush
magwar,Magnolia Warbler
mallar3,Mallard
marwre,Marsh Wren
merlin,Merlin
monpar,Monk Parakeet
moudov,Mourning Dove
mouwar,Mourning Warbler
mutswa,Mute Swan
naswar,Nashville Warbler
norcar,Northern Cardinal
norfli,Northern Flicker
norhar2,Northern Harrier
normoc,Northern Mockingbird
norpar,Northern Parula
norpin,Northern Pintail
norsho,Northern Shoveler
norwat,Northern Waterthrush
nrwswa,Northern Rough-winged Swallow
olsfly,Olive-sided Flycatcher
orcori,Orchard Oriole
osprey,Osprey
ovenbi1,Ovenbird
palwar,Palm Warbler
pecsan,Pectoral Sandpiper
perfal,Peregrine Falcon
pibgre,Pied-billed Grebe
pinwar,Pine Warbler
pipplo,Piping Plover
prawar,Prairie Warbler
purmar,Purple Martin
rebwoo,Red-bellied Woodpecker
redjun,Red Junglefowl
redkno,Red Knot
reevir1,Red-eyed Vireo
renpha,Red-necked Phalarope
reshaw,Red-shouldered Hawk
rethaw,Red-tailed Hawk
rewbla,Red-winged Blackbird
ribgul,Ring-billed Gull
robgro,Rose-breasted Grosbeak
rocpig,Rock Pigeon
royter1,Royal Tern
rthhum,Ruby-throated Hummingbird
ruckin,Ruby-crowned Kinglet
rudduc,Ruddy Duck
rudtur,Ruddy Turnstone
sander,Sanderling
santer1,Sandwich Tern
savspa,Savannah Sparrow
scatan,Scarlet Tanager
