species_code,common_name
brnowl,American Barn Owl
ambduc,American Black Duck
amecro,American Crow
amgplo,American Golden-Plover
amegfi,American Goldfinch
amhgul1,American Herring Gull
amekes,American Kestrel
ameoys,American Oystercatcher
amered,American Redstart
amerob,American Robin
baisan,Baird's Sandpiper
baleag,Bald Eagle
balori,Baltimore Oriole
banswa,Bank Swallow
barswa,Barn Swallow
babwar,Bay-breasted Warbler
belkin1,Belted Kingfisher
blksco2,Black Scoter
blkski,Black Skimmer
blkter,Black Tern
blkvul,Black Vulture
bawwar,Black-and-white Warbler
bkbplo,Black-bellied Plover
bkbcuc,Black-billed Cuckoo
bkcchi,Black-capped Chickadee
bcnher,Black-crowned Night Heron
btbwar,Black-throated Blue Warbler
btnwar,Black-throated Green Warbler
bkbwar,Blackburnian Warbler
bkpwar,Blackpoll Warbler
blugrb1,Blue Grosbeak
blujay,Blue Jay
buggna,Blue-gray Gnatcatcher
buwtea,Blue-winged Teal
buwwar,Blue-winged Warbler
botgra,Boat-tailed Grackle
boboli,Bobolink
bongul,Bonaparte's Gull
brant,Brant
brwhaw,Broad-winged Hawk
brnpel,Brown Pelican
brnthr,Brown Thrasher
bnhcow,Brown-headed Cowbird
budger,Budgerigar
bubsan,Buff-breasted Sandpiper
cangoo,Canada Goose
canwar,Canada Warbler
camwar,Cape May Warbler
carwre,Carolina Wren
caster1,Caspian Tern
cedwax,Cedar Waxwing
chswar,Chestnut-sided Warbler
chiswi,Chimney Swift
chispa,Chipping Sparrow
chwwid,Chuck-will's-widow
clarai11,Clapper Rail
cliswa,Cliff Swallow
comeid,Common Eider
comgal1,Common Gallinule
comgra,Common Grackle
comloo,Common Loon
commer,Common Merganser
comnig,Common Nighthawk
comrav,Common Raven
comter,Common Tern
comyel,Common Yellowthroat
conwar,Connecticut Warbler
coohaw,Cooper's Hawk
dickci,Dickcissel
doccor,Double-crested Cormorant
dowwoo,Downy Woodpecker
eargre,Eared Grebe
easkin,Eastern Kingbird
easpho,Eastern Phoebe
easowl1,Eastern Screech-Owl
eastow,Eastern Towhee
eawvir1,Eastern Warbling Vireo
easwpw1,Eastern Whip-poor-will
eawpew,Eastern Wood-Pewee
eursta,European Starling
fiespa,Field Sparrow
fiscro,Fish Crow
forter,Forster's Tern
gadwal,Gadwall
gloibi,Glossy Ibis
gowwar,Golden-winged Warbler
graspa,Grasshopper Sparrow
grycat,Gray Catbird
gragoo,Graylag Goose
gbbgul,Great Black-backed Gull
grbher3,Great Blue Heron
grcfly,Great Crested Flycatcher
greegr,Great Egret
grhowl,Great Horned Owl
greshe,Great Shearwater
greyel,Greater Yellowlegs
grnher,Green Heron
gnwtea,Green-winged Teal
gubter2,Gull-billed Tern
haiwoo,Hairy Woodpecker
herthr,Hermit Thrush
hoowar,Hooded Warbler
horlar,Horned Lark
houfin,House Finch
houspa,House Sparrow
hudgod,Hudsonian Godwit
whimbr3,Hudsonian Whimbrel
indbun,Indigo Bunting
kenwar,Kentucky Warbler
killde,Killdeer
larspa,Lark Sparrow
laugul,Laughing Gull
leabit,Least Bittern
leafly,Least Flycatcher
leasan,Least Sandpiper
leater1,Least Tern
lbbgul,Lesser Black-backed Gull
lesyel,Lesser Yellowlegs
libher,Little Blue Heron
lobdow,Long-billed Dowitcher
louwat,Louisiana Waterthrush
magwar,Magnolia Warbler
mallar3,Mallard
marwre,Marsh Wren
merlin,Merlin
monpar,Monk Parakeet
moudov,Mourning Dove
mouwar,Mourning Warbler
mutswa,Mute Swan
naswar,Nashville Warbler
norcar,Northern Cardinal
norfli,Northern Flicker
norhar2,Northern Harrier
houwre,Northern House Wren
normoc,Northern Mockingbird
norpar,Northern Parula
norpin,Northern Pintail
nrwswa,Northern Rough-winged Swallow
norsho,Northern Shoveler
norwat,Northern Waterthrush
yelwar1,Northern Yellow Warbler
olsfly,Olive-sided Flycatcher
orcori,Orchard Oriole
osprey,Osprey
ovenbi1,Ovenbird
palwar,Palm Warbler
pecsan,Pectoral Sandpiper
perfal,Peregrine Falcon
phivir,Philadelphia Vireo
pibgre,Pied-billed Grebe
pilwoo,Pileated Woodpecker
pinwar,Pine Warbler
pipplo,Piping Plover
prawar,Prairie Warbler
purmar,Purple Martin
redjun,Red Junglefowl
redkno,Red Knot
rebwoo,Red-bellied Woodpecker
reevir1,Red-eyed Vireo
rehwoo,Red-headed Woodpecker
renpha,Red-necked Phalarope
reshaw,Red-shouldered Hawk
rethaw,Red-tailed Hawk
rewbla,Red-winged Blackbird
ribgul,Ring-billed Gull
rocpig,Rock Pigeon
robgro,Rose-breasted Grosbeak
roster,Roseate Tern
royter1,Royal Tern
ruckin,Ruby-crowned Kinglet
rthhum,Ruby-throated Hummingbird
rudduc,Ruddy Duck
rudtur,Ruddy Turnstone
sstspa,Saltmarsh Sparrow
sander,Sanderling
santer1,Sandwich Tern
savspa,Savannah Sparrow
scatan,Scarlet Tanager
seaspa,Seaside Sparrow
sedwre1,Sedge Wren
semplo,Semipalmated Plover
semsan,Semipalmated Sandpiper
shshaw,Sharp-shinned Hawk
shbdow,Short-billed Dowitcher
snoegr,Snowy Egret
solsan,Solitary Sandpiper
sonspa,Song Sparrow
sora,Sora
sposan,Spotted Sandpiper
stisan,Stilt Sandpiper
sumtan,Summer Tanager
swathr,Swainson's Thrush
swaspa,Swamp Sparrow
tenwar,Tennessee Warbler
treswa,Tree Swallow
triher,Tricolored Heron
tuftit,Tufted Titmouse
turvul,Turkey Vulture
veery,Veery
vesspa,Vesper Sparrow
wessan,Western Sandpiper
whbnut,White-breasted Nuthatch
whevir,White-eyed Vireo
whfibi,White-faced Ibis
whrsan,White-rumped Sandpiper
whtspa,White-throated Sparrow
wiltur,Wild Turkey
willet1,Willet
wilfly,Willow Flycatcher
wilsni1,Wilson's Snipe
